location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Super Area,770,770,Resale,Ready to Move,4,5,Unfurnished,East,3766,0.29,23.0002435,72.5054049
gota/jagatpur/newranip/sola,1,Carpet Area,585,644,Resale,Ready to Move,5,12,Unfurnished,East,4667,0.28,23.1010002,72.5408363
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,480,528,Resale,Ready to Move,3,5,Unfurnished,East,4297,0.28,23.0002435,72.5054049
changodar/bhat,1,Carpet Area,4698,5168,Resale,Ready to Move,3,4,Unfurnished,East,362,0.17,22.9402206,72.4567127
narolgam/vatva/ghodasar,2,Super Area,1020,1020,New Property,Ready to Move,3,5,Semi-Furnished,East,2647,0.27,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,1035,1035,Resale,Ready to Move,3,5,Semi-Furnished,East,2271,0.23,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,882,882,Resale,Ready to Move,4,6,Unfurnished,East,2721,0.24,22.9641614,72.5903337
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,468,515,Resale,Ready to Move,2,4,Semi-Furnished,East,4312,0.23,23.0002435,72.5054049
gota/jagatpur/newranip/sola,1,Carpet Area,585,644,Resale,Ready to Move,5,12,Unfurnished,East,4750,0.28,23.1010002,72.5408363
gota/jagatpur/newranip/sola,1,Carpet Area,535,588,New Property,Under Construction,4,10,Unfurnished,East,3500,0.29,23.1010002,72.5408363
naroda/hansol,1,Super Area,576,576,Resale,Ready to Move,1,5,Unfurnished,North - East,3472,0.2,23.0854097,72.6580946
bopal/ghuma/shilaj/ambli,1,Carpet Area,510,561,Resale,Ready to Move,1,5,Semi-Furnished,East,4167,0.3,23.02353855,72.47052697610516
shahibag/khokhra/saraspur,2,Carpet Area,720,792,Resale,Ready to Move,3,4,Semi-Furnished,East,2500,0.27,23.0215,72.5788
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,531,584,Resale,Ready to Move,0,3,Unfurnished,North,3067,0.23,23.0002435,72.5054049
gota/jagatpur/newranip/sola,1,Carpet Area,585,644,Resale,Ready to Move,7,10,Semi-Furnished,East,4917,0.29,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,1,Carpet Area,418,460,New Property,Ready to Move,5,14,Unfurnished,East,3881,0.29,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,1,Carpet Area,620,682,Resale,Ready to Move,3,4,Furnished,North - East,3714,0.26,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,1,Carpet Area,520,572,Resale,Ready to Move,4,5,Unfurnished,East,3701,0.28,23.02353855,72.47052697610516
narolgam/vatva/ghodasar,2,Carpet Area,639,703,Resale,Ready to Move,0,4,Unfurnished,East,2424,0.24,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,1215,1215,Resale,Ready to Move,6,7,Unfurnished,North,2222,0.27,22.9641614,72.5903337
narolgam/vatva/ghodasar,1,Super Area,765,765,Resale,Ready to Move,3,5,Semi-Furnished,East,2288,0.17,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,498,548,Resale,Ready to Move,1,5,Unfurnished,East,3007,0.23,22.9948656,72.6624431
gota/jagatpur/newranip/sola,1,Carpet Area,468,515,Resale,Ready to Move,2,4,Unfurnished,East,5128,0.24,23.1010002,72.5408363
narolgam/vatva/ghodasar,2,Super Area,1143,1143,Resale,Ready to Move,3,5,Unfurnished,East,2319,0.27,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,515,566,Resale,Ready to Move,1,5,Unfurnished,East,3157,0.25,22.9948656,72.6624431
gota/jagatpur/newranip/sola,1,Carpet Area,630,693,Resale,Ready to Move,2,4,Semi-Furnished,East,3968,0.25,23.1010002,72.5408363
narolgam/vatva/ghodasar,1,Super Area,720,720,Resale,Ready to Move,2,5,Unfurnished,East,2432,0.17,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,468,515,Resale,Ready to Move,1,5,Semi-Furnished,East,2778,0.2,22.9948656,72.6624431
chandkheda,1,Carpet Area,747,822,Resale,Ready to Move,4,7,Unfurnished,East,3748,0.28,23.1100643,72.5811205
narolgam/vatva/ghodasar,2,Super Area,1053,1053,Resale,Ready to Move,3,5,Semi-Furnished,East,2233,0.23,22.9641614,72.5903337
