location,bhk,built_up_area,transaction,status,totalfloor,furnishing,facing,bathroom,floor_category,luxury_category,price
narolgam/vatva/ghodasar,2,1260,Resale,Ready to Move,12,Unfurnished,North - East,1,Mid Floor,Medium,0.4
gota/jagatpur/newranip/sola,2,604,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.4
prahlad nagar/jivraj park/vejalpur/jodhpur,2,825,Resale,Ready to Move,5,Semi-Furnished,North - East,1,Mid Floor,Medium,0.35
chandkheda,2,880,Resale,Ready to Move,5,Semi-Furnished,North,1,Mid Floor,Medium,0.39
paldi/derasar-rd/ambawadi,2,1125,Resale,Ready to Move,5,Unfurnished,North,1,Low Floor,Low,0.39
narolgam/vatva/ghodasar,2,1168,Resale,Ready to Move,12,Furnished,East,1,Mid Floor,Medium,0.35
chankyapuri/ognaj/ghatlodiya,1,743,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Low,0.32
naroda/hansol,2,1188,Resale,Ready to Move,3,Unfurnished,East,1,Low Floor,Low,0.37
narolgam/vatva/ghodasar,3,1663,Resale,Ready to Move,7,Semi-Furnished,South - East,2,Low Floor,Medium,0.38
chandkheda,2,624,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.4
gandhinagar highway,1,462,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.38
narolgam/vatva/ghodasar,2,792,Resale,Ready to Move,7,Semi-Furnished,East,1,Mid Floor,Medium,0.41
naroda/hansol,1,500,Resale,Ready to Move,3,Unfurnished,East,1,Low Floor,Low,0.36
gota/jagatpur/newranip/sola,1,385,Resale,Ready to Move,12,Unfurnished,East,1,Mid Floor,Low,0.38
naroda/hansol,2,986,Resale,Ready to Move,5,Semi-Furnished,North,1,Low Floor,Low,0.42
chandkheda,2,792,Resale,Ready to Move,7,Furnished,East,1,Low Floor,Medium,0.36
prahlad nagar/jivraj park/vejalpur/jodhpur,2,850,Resale,Ready to Move,5,Semi-Furnished,South - East,1,Low Floor,Low,0.42
sanand/godhavi,2,802,Resale,Ready to Move,8,Unfurnished,East,1,Mid Floor,Low,0.43
chharodi/tragad,3,792,Resale,Ready to Move,5,Furnished,East,2,Low Floor,Medium,0.38
nikol,2,693,Resale,Ready to Move,5,Furnished,North,1,Mid Floor,Medium,0.36
vastral/sardar patel ring rd/odhav,2,1089,Resale,Ready to Move,7,Semi-Furnished,East,1,Mid Floor,Medium,0.4
gota/jagatpur/newranip/sola,2,965,Resale,Ready to Move,5,Unfurnished,West,1,Low Floor,Low,0.36
naroda/hansol,2,1188,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Medium,0.4
naroda/hansol,2,822,Resale,Ready to Move,7,Furnished,East,1,Mid Floor,Medium,0.4
narolgam/vatva/ghodasar,2,715,Resale,Ready to Move,5,Unfurnished,North - East,1,Mid Floor,Low,0.34
gota/jagatpur/newranip/sola,2,972,Resale,Other,5,Unfurnished,East,1,Mid Floor,Low,0.35
chankyapuri/ognaj/ghatlodiya,2,1125,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Medium,0.44
